analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,33397969911.782265,BAU,HC,12.202539642326816,0.4467525358441592,354724837393862.44,14920627750.135656,30772379.643917568,0,33397969911.782265
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,31080144123.71876,BAU,HC,12.202539642326816,0.4467525358441592,330106862769959.6,13885133201.6733,28588904.850192353,1,31080144123.71876
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,28703161908.00371,BAU,HC,12.202539642326816,0.4467525358441592,304860578873519.4,12823210369.146133,26358245.64940449,2,28703161908.00371
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,25778795243.715218,BAU,HC,12.202539642326816,0.4467525358441592,273800442817051.78,11516742146.137123,23633085.221753825,3,25778795243.715218
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,23212168981.54167,BAU,HC,12.202539642326816,0.4467525358441592,246539921117523.66,10370095354.946877,21244345.002697017,4,23212168981.54167
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,20910902863.891747,BAU,HC,12.202539642326816,0.4467525358441592,222097829231711.38,9341998881.23453,19105965.75965797,5,20910902863.891747
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,18732429521.524647,BAU,HC,12.202539642326816,0.4467525358441592,198959937791626.7,8368760391.263125,17086679.4575449,6,18732429521.524647
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,16811872511.020367,BAU,HC,12.202539642326816,0.4467525358441592,178561414316808.2,7510746676.587061,15308962.85645155,7,16811872511.020367
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,15092477264.577673,BAU,HC,12.202539642326816,0.4467525358441592,160299460047695.62,6742602490.120395,13720030.785482269,8,15092477264.577673
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,13628933623.231586,BAU,HC,12.202539642326816,0.4467525358441592,144754943971819.94,6088760657.030436,12368586.187672155,9,13628933623.231586
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,12235712715.992804,BAU,HC,12.202539642326816,0.4467525358441592,129957336180705.12,5466335683.73041,11085360.776214147,10,12235712715.992804
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,11044222231.57888,BAU,HC,12.202539642326816,0.4467525358441592,117302337405137.08,4934034288.384303,10005772.078320788,11,11044222231.57888
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,9835108302.396427,BAU,HC,12.202539642326816,0.4467525358441592,104460157384830.22,4393859574.397548,8910242.504611248,12,9835108302.396427
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,8755744750.400024,BAU,HC,12.202539642326816,0.4467525358441592,92996075541469.05,3911651170.4453955,7932286.255460685,13,8755744750.400024
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,7888762286.773373,BAU,HC,12.202539642326816,0.4467525358441592,83787725026583.42,3524324556.287772,7146757.7938674595,14,7888762286.773373
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,7112244947.056994,BAU,HC,12.202539642326816,0.4467525358441592,75540218133440.42,3177413465.64252,6443202.905691801,15,7112244947.056994
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,6387070498.266017,BAU,HC,12.202539642326816,0.4467525358441592,67838031769747.27,2853439941.71576,5786177.081768825,16,6387070498.266017
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,5717029013.73996,BAU,HC,12.202539642326816,0.4467525358441592,60721420871735.84,0.0,5179112.150412966,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,5089468442.363424,BAU,HC,12.202539642326816,0.4467525358441592,54056006110768.37,0.0,4610544.873199656,18,0.0
2039,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,4499186417.701621,BAU,HC,12.202539642326816,0.4467525358441592,47786532374258.13,0.0,4075761.1327328505,19,0.0
2040,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3964117603.6669044,BAU,HC,12.202539642326816,0.4467525358441592,42103486412053.32,0.0,3591006.356084028,20,0.0
2041,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3516479072.518945,BAU,HC,12.202539642326816,0.4467525358441592,37349050570829.66,0.0,3185500.5231860615,21,0.0
2042,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3236725125.638846,BAU,HC,12.202539642326816,0.4467525358441592,34377742027841.67,0.0,2932077.617554616,22,0.0
2043,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2988612473.215461,BAU,HC,12.202539642326816,0.4467525358441592,31742500409302.57,0.0,2707317.859909416,23,0.0
2044,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2667651242.9146056,BAU,HC,12.202539642326816,0.4467525358441592,28333523141254.926,0.0,2416566.1887176326,24,0.0
2045,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2309098206.264791,BAU,HC,12.202539642326816,0.4467525358441592,24525277671286.668,0.0,2091760.93258404,25,0.0
2046,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2003722235.1661427,BAU,HC,12.202539642326816,0.4467525358441592,21281833774005.184,0.0,1815127.6025849022,26,0.0
2047,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1699375165.9775243,BAU,HC,12.202539642326816,0.4467525358441592,18049317997914.703,0.0,1539426.332042145,27,0.0
2048,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1373830405.157761,BAU,HC,12.202539642326816,0.4467525358441592,14591658366169.383,0.0,1244522.5420505868,28,0.0
2049,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1007567166.6880902,BAU,HC,12.202539642326816,0.4467525358441592,10701521688620.342,0.0,912732.784822429,29,0.0
2050,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,627660360.6077145,BAU,HC,12.202539642326816,0.4467525358441592,6666474637328.134,0.0,568583.6218177165,30,0.0
2051,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,339355068.7169306,BAU,HC,12.202539642326816,0.4467525358441592,3604340979028.4575,0.0,307414.2421013372,31,0.0
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,3017648887.103484,BAU,HC,13.90939206005476,0.4246777566307922,28117863262782.125,1281528359.6745143,2439224.6380463494,0,3017648887.103484
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2851348222.654837,BAU,HC,13.90939206005476,0.4246777566307922,26568306134561.953,1210904166.570253,2300948.152783738,1,2851348222.654837
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2679303877.3516855,BAU,HC,13.90939206005476,0.4246777566307922,24965230509348.234,1137840759.965897,2158493.8298382484,2,2679303877.3516855
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2453327699.767068,BAU,HC,13.90939206005476,0.4246777566307922,22859628598825.98,1041873703.8172601,1973128.8425076646,3,2453327699.767068
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2236944416.946082,BAU,HC,13.90939206005476,0.4246777566307922,20843411409107.664,949980536.6964376,1796076.7611228076,4,2236944416.946082
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2046237456.221009,BAU,HC,13.90939206005476,0.4246777566307922,19066441176472.223,868991532.441837,1640190.602206023,5,2046237456.221009
