analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4315450.323787816,BAU,HC,45.245072451367335,0.7809975028174441,12361654184.899363,3370355.9264110145,1437.042298994551,0,4315450.323787816
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4055728.313804298,BAU,HC,45.245072451367335,0.7809975028174441,11617677674.748001,3167513.68518716,1322.6726032700599,1,4055728.313804298
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3788115.217077292,BAU,HC,45.245072451367335,0.7809975028174441,10851097061.16661,2958508.524922125,1209.3547674670187,2,3788115.217077292
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3446159.788174522,BAU,HC,45.245072451367335,0.7809975028174441,9871562032.00778,2691442.188874194,1076.4938395904485,3,3446159.788174522
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3113985.161643376,BAU,HC,45.245072451367335,0.7809975028174441,8920044217.159678,2432014.635054052,951.3227157600795,4,3113985.161643376
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2825414.1450115526,BAU,HC,45.245072451367335,0.7809975028174441,8093429415.055691,2206641.3916791063,843.7400165195558,5,2825414.1450115526
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2547509.9128920715,BAU,HC,45.245072451367335,0.7809975028174441,7297369732.698902,1989598.8803713922,743.2371072753832,6,2547509.9128920715
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2300310.5537338336,BAU,HC,45.245072451367335,0.7809975028174441,6589264491.445494,1796536.798170736,655.3023536742543,7,2300310.5537338336
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2078844.9026669955,BAU,HC,45.245072451367335,0.7809975028174441,5954873735.692596,1623572.677727696,577.9204960489665,8,2078844.9026669955
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1885672.4417461418,BAU,HC,45.245072451367335,0.7809975028174441,5401529129.502433,1472705.468135409,511.25473210740523,9,1885672.4417461418
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1710512.899589224,BAU,HC,45.245072451367335,0.7809975028174441,4899782724.175122,1335906.3031162093,452.004956305155,10,1710512.899589224
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1546439.5562640731,BAU,HC,45.245072451367335,0.7809975028174441,4429792855.454875,1207765.4317003575,401.2107687114035,11,1546439.5562640731
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1389301.0899635123,BAU,HC,45.245072451367335,0.7809975028174441,3979668017.0699887,1085040.6819230563,353.76064937338543,12,1389301.0899635123
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1240982.7530973307,BAU,HC,45.245072451367335,0.7809975028174441,3554808534.9638762,969204.4312085321,310.02551675980453,13,1240982.7530973307
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1102709.287113805,BAU,HC,45.245072451367335,0.7809975028174441,3158722694.2779636,861213.1995694857,270.1781869323714,14,1102709.287113805
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,977935.1359943597,BAU,HC,45.245072451367335,0.7809975028174441,2801305787.205534,763764.8991290325,234.90349678612006,15,977935.1359943597
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,861123.6717108185,BAU,HC,45.245072451367335,0.7809975028174441,2466698082.8032207,672535.4372231378,202.70338165243749,16,861123.6717108185
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,753663.6592633395,BAU,HC,45.245072451367335,0.7809975028174441,2158877713.4530416,0.0,173.78317929982947,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,657078.5011348109,BAU,HC,45.245072451367335,0.7809975028174441,1882208482.064295,0.0,148.3519081393436,18,0.0
2039,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,569940.493587447,BAU,HC,45.245072451367335,0.7809975028174441,1632600715.8193588,0.0,125.93718661758952,19,0.0
2040,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,533119.3789539322,BAU,HC,45.245072451367335,0.7809975028174441,1527126234.2124128,0.0,115.23694563366868,20,0.0
2041,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,498349.05769849336,BAU,HC,45.245072451367335,0.7809975028174441,1427526272.445196,0.0,107.72113251871448,21,0.0
2042,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,465864.24299154244,BAU,HC,45.245072451367335,0.7809975028174441,1334473168.9360833,0.0,100.69934532791684,22,0.0
2043,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,435353.715071765,BAU,HC,45.245072451367335,0.7809975028174441,1247075431.308563,0.0,94.10431204654417,23,0.0
2044,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,406474.2989492463,BAU,HC,45.245072451367335,0.7809975028174441,1164350031.0877502,0.0,87.86185334588163,24,0.0
2045,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,380180.6200790936,BAU,HC,45.245072451367335,0.7809975028174441,1089031503.227527,0.0,82.17831723354918,25,0.0
2046,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,356680.23743806593,BAU,HC,45.245072451367335,0.7809975028174441,1021714402.664494,0.0,77.09856882506273,26,0.0
2047,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,335776.5451419808,BAU,HC,45.245072451367335,0.7809975028174441,961835549.7143484,0.0,72.58011058144473,27,0.0
2048,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,317938.8250276937,BAU,HC,45.245072451367335,0.7809975028174441,910739207.2806584,0.0,68.72438058139848,28,0.0
2049,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,303150.10868143913,BAU,HC,45.245072451367335,0.7809975028174441,868376769.1584404,0.0,65.52771100069592,29,0.0
2050,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,291082.6323483378,BAU,HC,45.245072451367335,0.7809975028174441,833809352.5224584,0.0,62.91925374134472,30,0.0
2051,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,278845.5727695737,BAU,HC,45.245072451367335,0.7809975028174441,798756162.842843,0.0,60.27414004812094,31,0.0
2052,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,268487.7183114392,BAU,HC,45.245072451367335,0.7809975028174441,769085976.5813565,0.0,58.03522779282917,32,0.0
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,22390168972.809223,BAU,HC,12.202539642326816,0.6414007089815517,237809335988979.5,14361070253.376575,20629959.897043973,0,22390168972.809223
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,20679314425.28026,BAU,HC,12.202539642326816,0.6414007089815517,219638093761389.38,13263726933.627186,19021757.110205125,1,20679314425.28026
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,18940882996.37617,BAU,HC,12.202539642326816,0.6414007089815517,201173953349045.56,12148695782.612293,17393500.00655848,2,18940882996.37617
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,16861161452.98958,BAU,HC,12.202539642326816,0.6414007089815517,179084919546962.2,10814760910.199926,15457714.83069604,3,16861161452.98958
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,15026855387.235867,BAU,HC,12.202539642326816,0.6414007089815517,159602480266258.66,9638235699.136333,13752945.72454351,4,15026855387.235867
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,13422715246.543114,BAU,HC,12.202539642326816,0.6414007089815517,142564667726537.2,8609339075.590237,12264125.541175362,5,13422715246.543114
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,11914021364.271797,BAU,HC,12.202539642326816,0.6414007089815517,126540604183770.52,7641661749.865284,10867307.087302212,6,11914021364.271797
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,10607543440.744925,BAU,HC,12.202539642326816,0.6414007089815517,112664306606226.84,6803685883.446403,9659274.326884858,7,10607543440.744925
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,9424005887.62331,BAU,HC,12.202539642326816,0.6414007089815517,100093777104297.89,6044564057.767908,8567026.382356856,8,9424005887.62331
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,8433458924.113285,BAU,HC,12.202539642326816,0.6414007089815517,89573029541191.67,5409226533.093055,7653567.509147123,9,8433458924.113285
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,7520699810.213387,BAU,HC,12.202539642326816,0.6414007089815517,79878478371969.75,4823782190.308287,6813634.20512902,10,7520699810.213387
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,6721768056.766462,BAU,HC,12.202539642326816,0.6414007089815517,71392904635636.9,4311346797.219556,6089743.372515192,11,6721768056.766462
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,5911428223.4942465,BAU,HC,12.202539642326816,0.6414007089815517,62786163975934.44,3791594253.642764,5355534.214819255,12,5911428223.4942465
