analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4315450.323787816,BAU,HC,45.245072451367335,0.7809975028174441,12361654184.899363,3370355.9264110145,1437.042298994551,0,4315450.323787816
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4055728.313804298,BAU,HC,45.245072451367335,0.7809975028174441,11617677674.748001,3167513.68518716,1330.4099766014422,1,4055728.313804298
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3788115.217077292,BAU,HC,45.245072451367335,0.7809975028174441,10851097061.16661,2958508.524922125,1223.8084287524925,2,3788115.217077292
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3446159.788174522,BAU,HC,45.245072451367335,0.7809975028174441,9871562032.00778,2691442.188874194,1096.2172205304,3,3446159.788174522
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3111520.0910680224,BAU,HC,45.245072451367335,0.7809975028174441,8912982995.8021,2430089.4210904315,974.3138232031106,4,3111520.0910680224
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2830275.4663752224,BAU,HC,45.245072451367335,0.7809975028174441,8107354722.74562,2210438.0715245255,872.1892210729737,5,2830275.4663752224
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2560515.9140999075,BAU,HC,45.245072451367335,0.7809975028174441,7334625564.001934,1999756.5348363528,776.3407774473487,6,2560515.9140999075
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2315672.265465598,BAU,HC,45.245072451367335,0.7809975028174441,6633268281.054524,1808534.2566722455,690.6028272771487,7,2315672.265465598
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2093538.669788317,BAU,HC,45.245072451367335,0.7809975028174441,5996964190.73178,1635048.4731564294,613.9571999187382,8,2093538.669788317
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1898068.5176391082,BAU,HC,45.245072451367335,0.7809975028174441,5437037823.136084,1482386.7724525514,547.205234671708,9,1898068.5176391082
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1720520.7173943773,BAU,HC,45.245072451367335,0.7809975028174441,4928450226.653564,1343722.383830686,487.47301191830405,10,1720520.7173943773
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1555607.021975793,BAU,HC,45.245072451367335,0.7809975028174441,4456053160.261427,1214925.1995283752,439.01481340211603,11,1555607.021975793
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1398477.5387059709,BAU,HC,45.245072451367335,0.7809975028174441,4005954053.8653703,1092207.4654756486,393.11228321391656,12,1398477.5387059709
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1250525.9146552307,BAU,HC,45.245072451367335,0.7809975028174441,3582145024.590256,976657.6165542353,350.1296011385254,13,1250525.9146552307
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1112609.1632758605,BAU,HC,45.245072451367335,0.7809975028174441,3187080996.7508426,868944.9781302529,310.2750833576815,14,1112609.1632758605
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,983920.2228084326,BAU,HC,45.245072451367335,0.7809975028174441,2818450133.1975026,768439.2369849691,273.2910171654958,15,983920.2228084326
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,863135.6080884051,BAU,HC,45.245072451367335,0.7809975028174441,2472461296.344262,674106.7545098604,238.78042215574348,16,863135.6080884051
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,752617.0804099542,BAU,HC,45.245072451367335,0.7809975028174441,2155879776.9940205,0.0,207.36760810972385,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,653878.994855302,BAU,HC,45.245072451367335,0.7809975028174441,1873043461.6788936,0.0,179.43381754191464,18,0.0
2039,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,565448.7137990668,BAU,HC,45.245072451367335,0.7809975028174441,1619733963.9736469,0.0,154.53719776876167,19,0.0
2040,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,527565.5709785558,BAU,HC,45.245072451367335,0.7809975028174441,1511217291.124249,0.0,143.59586700262614,20,0.0
2041,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,492477.0851554633,BAU,HC,45.245072451367335,0.7809975028174441,1410705943.5075545,0.0,134.04527875208782,21,0.0
2042,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,460224.98630966106,BAU,HC,45.245072451367335,0.7809975028174441,1318319457.102804,0.0,125.26671481390844,22,0.0
2043,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,430325.12619344983,BAU,HC,45.245072451367335,0.7809975028174441,1232670984.011577,0.0,117.12839690078003,23,0.0
2044,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,402312.8280116899,BAU,HC,45.245072451367335,0.7809975028174441,1152429452.5221677,0.0,109.50384657865638,24,0.0
2045,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,377018.19106913114,BAU,HC,45.245072451367335,0.7809975028174441,1079972691.0822542,0.0,102.6190051066358,25,0.0
2046,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,354425.56559356936,BAU,HC,45.245072451367335,0.7809975028174441,1015255870.7498845,0.0,96.46961283865403,26,0.0
2047,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,334135.48722870933,BAU,HC,45.245072451367335,0.7809975028174441,957134721.5506148,0.0,90.94694124173942,27,0.0
2048,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,316566.0462660015,BAU,HC,45.245072451367335,0.7809975028174441,906806867.6518433,0.0,86.16478856427815,28,0.0
2049,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,302083.9323002747,BAU,HC,45.245072451367335,0.7809975028174441,865322695.3688725,0.0,82.22296251395026,29,0.0
2050,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,290387.3311860507,BAU,HC,45.245072451367335,0.7809975028174441,831817654.8136067,0.0,79.03931356038892,30,0.0
