analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4606442.911229669,BAU,BAU,45.245072451367335,0.7809975028174441,13195205602.81209,3597620.410541489,1533.9426513269054,0,4606442.911229669
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4371976.261012339,BAU,BAU,45.245072451367335,0.7809975028174441,12523573344.20359,3414502.542227783,1434.1495250848184,1,4371976.261012339
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,4183174.475429681,BAU,BAU,45.245072451367335,0.7809975028174441,11982748584.850138,3267048.8191602523,1351.4383508965682,2,4183174.475429681
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3879858.0428579967,BAU,BAU,45.245072451367335,0.7809975028174441,11113895379.106953,3030159.4427582715,1234.175854059069,3,3879858.0428579967
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3556064.182170333,BAU,BAU,45.245072451367335,0.7809975028174441,10186384358.773588,2777277.2461335864,1113.514419794976,4,3556064.182170333
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,3267185.077388153,BAU,BAU,45.245072451367335,0.7809975028174441,9358887034.826591,2551663.3866825653,1006.8290672066447,5,3267185.077388153
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2982039.097917142,BAU,BAU,45.245072451367335,0.7809975028174441,8542083288.759797,2328965.0887772716,904.1453477820695,6,2982039.097917142
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2716777.7417099983,BAU,BAU,45.245072451367335,0.7809975028174441,7782239261.364768,2121796.6319855237,810.2244939792088,7,2716777.7417099983
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2469287.4417146067,BAU,BAU,45.245072451367335,0.7809975028174441,7073300616.932707,1928507.3257175828,724.1503705603367,8,2469287.4417146067
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2239178.2091794694,BAU,BAU,45.245072451367335,0.7809975028174441,6414150228.461725,1748792.589732402,645.5457355933019,9,2239178.2091794694
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,2024336.7266801756,BAU,BAU,45.245072451367335,0.7809975028174441,5798734475.30429,1581001.928398856,573.5528269523473,10,2024336.7266801756
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1822256.3707302907,BAU,BAU,45.245072451367335,0.7809975028174441,5219873107.339051,1423177.6750335356,514.2671184081506,11,1822256.3707302907
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1629657.4308516933,BAU,BAU,45.245072451367335,0.7809975028174441,4668171358.385144,1272758.383943064,458.096991741051,12,1629657.4308516933
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1448627.0065494268,BAU,BAU,45.245072451367335,0.7809975028174441,4149607747.5761576,1131374.0746290116,405.59511007133636,13,1448627.0065494268
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1280749.0293295924,BAU,BAU,45.245072451367335,0.7809975028174441,3668719463.863859,1000261.793642277,357.16451468500213,14,1280749.0293295924
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,1126835.9127399437,BAU,BAU,45.245072451367335,0.7809975028174441,3227833674.65349,880056.0339349114,312.98689226277565,15,1126835.9127399437
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,984045.8243769689,BAU,BAU,45.245072451367335,0.7809975028174441,2818809920.2507253,768537.3314963458,272.22938685813403,16,984045.8243769689
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Battery Electric,2020-new,853951.2315305793,BAU,BAU,45.245072451367335,0.7809975028174441,2446152550.2359104,0.0,235.28807534954151,17,0.0
