analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,33397969911.782265,BAU,BAU,12.202539642326816,0.4467525358441592,354724837393862.44,14920627750.135656,30772379.643917568,0,33397969911.782265
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,31080144123.71876,BAU,BAU,12.202539642326816,0.4467525358441592,330106862769959.6,13885133201.6733,28588904.850192353,1,31080144123.71876
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,28703161908.00371,BAU,BAU,12.202539642326816,0.4467525358441592,304860578873519.4,12823210369.146133,26358245.64940449,2,28703161908.00371
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,25778795243.715218,BAU,BAU,12.202539642326816,0.4467525358441592,273800442817051.78,11516742146.137123,23633085.221753825,3,25778795243.715218
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,23212168981.54167,BAU,BAU,12.202539642326816,0.4467525358441592,246539921117523.66,10370095354.946877,21244345.002697017,4,23212168981.54167
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,20910902863.891747,BAU,BAU,12.202539642326816,0.4467525358441592,222097829231711.38,9341998881.23453,19105965.75965797,5,20910902863.891747
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,18732429521.524647,BAU,BAU,12.202539642326816,0.4467525358441592,198959937791626.7,8368760391.263125,17086679.4575449,6,18732429521.524647
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,16811872511.020367,BAU,BAU,12.202539642326816,0.4467525358441592,178561414316808.2,7510746676.587061,15308962.85645155,7,16811872511.020367
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,15092477264.577673,BAU,BAU,12.202539642326816,0.4467525358441592,160299460047695.62,6742602490.120395,13720030.785482269,8,15092477264.577673
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,13628933623.231588,BAU,BAU,12.202539642326816,0.4467525358441592,144754943971819.97,6088760657.0304365,12368586.187672159,9,13628933623.231588
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,12235712715.992804,BAU,BAU,12.202539642326816,0.4467525358441592,129957336180705.12,5466335683.73041,11085360.776214147,10,12235712715.992804
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,11044222231.57888,BAU,BAU,12.202539642326816,0.4467525358441592,117302337405137.08,4934034288.384303,10005772.078320788,11,11044222231.57888
