analysis_year,veh_class,veh_sub_class,op_segment,powertrain,veh_year,vmt,payload_scenario,conn_scenario,mpgge,discounted_cost_per_mi,energy_btu,discounted_cost,co2e_mtonnes,veh_age,discounted_vmt
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,33102845496.020138,+10%,BAU,11.979277931507866,0.4501052162229071,358142979488552.4,14899763429.579632,31068903.47063192,0,33102845496.020138
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,30623118752.0727,+10%,BAU,11.979277931507866,0.4501052162229071,331314569087955.4,13783625487.321444,28693498.255862374,1,30623118752.0727
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,28604396568.101406,+10%,BAU,11.979277931507866,0.4501052162229071,309473812896345.25,12874988102.211065,26757105.863018014,2,28604396568.101406
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,26129094940.31026,+10%,BAU,11.979277931507866,0.4501052162229071,282693278267786.9,11760841927.817219,24400670.313684024,3,26129094940.31026
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,23915403196.002247,+10%,BAU,11.979277931507866,0.4501052162229071,258743127001455.34,10764447726.594595,22295895.25371541,4,23915403196.002247
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,21897242722.71378,+10%,BAU,11.979277931507866,0.4501052162229071,236908448013618.56,9856063170.392565,20380049.240371536,5,21897242722.71378
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,19896558830.620903,+10%,BAU,11.979277931507866,0.4501052162229071,215262849896833.03,8955544914.548414,18486773.54914002,6,19896558830.620903
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,18010205972.561394,+10%,BAU,11.979277931507866,0.4501052162229071,194854210614345.88,8106487653.498839,16705825.747020945,7,18010205972.561394
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,16232112782.733265,+10%,BAU,11.979277931507866,0.4501052162229071,175616843455383.28,7306158633.826771,15031045.631346256,8,16232112782.733265
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,14649373606.075703,+10%,BAU,11.979277931507866,0.4501052162229071,158493030804608.38,6593759474.492852,13542437.017099764,9,14649373606.075703
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,13074942163.35448,+10%,BAU,11.979277931507866,0.4501052162229071,141459100353994.06,5885099669.538673,12066461.260195693,10,13074942163.35448
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,11827963511.235382,+10%,BAU,11.979277931507866,0.4501052162229071,127967914229760.53,5323828073.701258,10915535.115884343,11,11827963511.235382
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,10485454886.588558,+10%,BAU,11.979277931507866,0.4501052162229071,113443179826553.45,4719557938.923481,9676476.352845356,12,10485454886.588558
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,9273930724.629305,+10%,BAU,11.979277931507866,0.4501052162229071,100335579359438.77,4174244594.045535,8558323.912622048,13,9273930724.629305
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,8299933244.744255,+10%,BAU,11.979277931507866,0.4501052162229071,89797803701986.25,3735843247.7613077,7659393.464564619,14,8299933244.744255
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,7433167137.225462,+10%,BAU,11.979277931507866,0.4501052162229071,80420174932767.69,3345707301.521874,6859438.82089042,15,7433167137.225462
2036,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,6629672340.551919,+10%,BAU,11.979277931507866,0.4501052162229071,71727084771717.67,2984050102.331148,6117889.968518888,16,6629672340.551919
2037,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,5889790416.3143,+10%,BAU,11.979277931507866,0.4501052162229071,63722228607674.54,0.0,5435060.044634385,17,0.0
2038,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,5213860411.736921,+10%,BAU,11.979277931507866,0.4501052162229071,56409274626296.78,0.0,4811259.851426105,18,0.0
2039,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,4569951921.21262,+10%,BAU,11.979277931507866,0.4501052162229071,49442764591922.984,0.0,4217022.834809704,19,0.0
2040,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3991506792.4399843,+10%,BAU,11.979277931507866,0.4501052162229071,43184509182605.44,0.0,3683206.788184418,20,0.0
2041,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3509121305.5324497,+10%,BAU,11.979277931507866,0.4501052162229071,37965532597529.96,0.0,3238080.2752433307,21,0.0
2042,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,3205861284.7542896,+10%,BAU,11.979277931507866,0.4501052162229071,34684532255299.305,0.0,2958243.7560544778,22,0.0
2043,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2940693723.3862157,+10%,BAU,11.979277931507866,0.4501052162229071,31815658022010.406,0.0,2713557.472697268,23,0.0
2044,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2606814869.2656465,+10%,BAU,11.979277931507866,0.4501052162229071,28203389474965.39,0.0,2405467.0883197985,24,0.0
2045,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,2239237103.7726855,+10%,BAU,11.979277931507866,0.4501052162229071,24226529052400.785,0.0,2066280.662879263,25,0.0
2046,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1929296415.3817327,+10%,BAU,11.979277931507866,0.4501052162229071,20873249902473.496,0.0,1780279.4841819645,26,0.0
2047,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1622812771.5434277,+10%,BAU,11.979277931507866,0.4501052162229071,17557372861572.115,0.0,1497468.331363486,27,0.0
2048,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,1296745428.3669755,+10%,BAU,11.979277931507866,0.4501052162229071,14029617828755.65,0.0,1196586.1046145696,28,0.0
2049,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,930879709.3629726,+10%,BAU,11.979277931507866,0.4501052162229071,10071280207520.982,0.0,858979.4888994646,29,0.0
2050,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,552932169.0353518,+10%,BAU,11.979277931507866,0.4501052162229071,5982228159122.974,0.0,510224.23969159846,30,0.0
2051,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-avg,268293984.13616872,+10%,BAU,11.979277931507866,0.4501052162229071,2902699312327.522,0.0,247571.22434841437,31,0.0
2020,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,3301045671.068325,+10%,BAU,13.653320792154636,0.42763763034336955,31335382117781.027,1411651348.4308968,2718344.3987175045,0,3301045671.068325
2021,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,3101951512.4179473,+10%,BAU,13.653320792154636,0.42763763034336955,29445468387290.69,1326511194.2104423,2550124.7896813103,1,3101951512.4179473
2022,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2949507362.992886,+10%,BAU,13.653320792154636,0.42763763034336955,27998382781744.24,1261320339.3905985,2420740.1753096073,2,2949507362.992886
2023,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2747871136.4003587,+10%,BAU,13.653320792154636,0.42763763034336955,26084338312611.07,1175093101.2591913,2251469.6614530245,3,2747871136.4003587
2024,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2547697724.368994,+10%,BAU,13.653320792154636,0.42763763034336955,24184179702023.64,1089491417.6803517,2083950.7649233774,4,2547697724.368994
2025,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2369524755.080787,+10%,BAU,13.653320792154636,0.42763763034336955,22492861667669.164,1013297951.3027009,1934948.42496124,5,2369524755.080787
2026,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2184878640.6477466,+10%,BAU,13.653320792154636,0.42763763034336955,20740096898907.17,934336324.4744447,1781159.5216781478,6,2184878640.6477466
2027,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,2006392804.6560225,+10%,BAU,13.653320792154636,0.42763763034336955,19045808957837.207,858009064.5210886,1632892.431000173,7,2006392804.6560225
2028,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,1836102439.3161826,+10%,BAU,13.653320792154636,0.42763763034336955,17429317033575.684,785186496.2168528,1491775.2449037428,8,1836102439.3161826
2029,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,1673392948.742564,+10%,BAU,13.653320792154636,0.42763763034336955,15884787036308.553,715605795.2335737,1357275.6283173845,9,1673392948.742564
2030,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,1517497371.1914232,+10%,BAU,13.653320792154636,0.42763763034336955,14404938533801.709,648938979.8685929,1228741.2569332859,10,1517497371.1914232
2031,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,1382277990.6601026,+10%,BAU,13.653320792154636,0.42763763034336955,13121360122326.023,591114084.4016806,1119238.8970742875,11,1382277990.6601026
2032,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,1249499993.83958,+10%,BAU,13.653320792154636,0.42763763034336955,11860956698141.326,534333216.4796129,1011715.8844380588,12,1249499993.83958
2033,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,1124009551.806193,+10%,BAU,13.653320792154636,0.42763763034336955,10669730842737.512,480668781.2177133,910096.0316929815,13,1124009551.806193
2034,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,1008791235.2151505,+10%,BAU,13.653320792154636,0.42763763034336955,9576013779386.69,431397093.3385677,816795.6713265671,14,1008791235.2151505
2035,Class 4-6 Vocational,Class 4 Step Van,Last-mile,Diesel CI,2020-new,904635649.1899159,+10%,BAU,13.653320792154636,0.42763763034336955,8587310376581.031,386856245.3437114,732454.638570479,15,904635649.1899159
